OBJECTID,AMP_CODE,AMPHOE_T,AMPHOE_E,PROV_CODE,PROV_T,PROV_E,FormalRegi,F4Region,TMDRegion,MetroRegio,Units,UnitsTH,lat,lon
161,"2303",เขาสมิง,Khao Saming,"23",ตราด,Trat,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG17,ศูนย์ ปภ. เขต 17,12.4368181609,102.4164754535
162,"2304",บ่อไร่,Bo Rai,"23",ตราด,Trat,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG17,ศูนย์ ปภ. เขต 17,12.5582332504,102.5712722081
163,"2305",แหลมงอบ,Laem Ngop,"23",ตราด,Trat,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG17,ศูนย์ ปภ. เขต 17,12.2208185421,102.3647208218
164,"2306",เกาะกูด,Ko Kut,"23",ตราด,Trat,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG17,ศูนย์ ปภ. เขต 17,11.6801050577,102.5526642814
165,"2307",เกาะช้าง,Ko Chang,"23",ตราด,Trat,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG17,ศูนย์ ปภ. เขต 17,12.0467940842,102.3382042939
166,"2401",เมืองฉะเชิงเทรา,Mueang Chachoengsao,"24",ฉะเชิงเทรา,Chachoengsao,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.7186729346,101.0140810959
167,"2402",บางคล้า,Bang Khla,"24",ฉะเชิงเทรา,Chachoengsao,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.7449506157,101.2072506899
168,"2403",บางน้ำเปรี้ยว,Bang Nam Priao,"24",ฉะเชิงเทรา,Chachoengsao,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.8827227442,101.0294433051
169,"2404",บางปะกง,Bang Pakong,"24",ฉะเชิงเทรา,Chachoengsao,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.5318085832,100.9613514085
170,"2405",บ้านโพธิ์,Ban Pho,"24",ฉะเชิงเทรา,Chachoengsao,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.6097165191,101.0808136418
171,"2406",พนมสารคาม,Phanom Sarakham,"24",ฉะเชิงเทรา,Chachoengsao,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.7389422291,101.4119954470
172,"2407",ราชสาส์น,Ratchasan,"24",ฉะเชิงเทรา,Chachoengsao,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.7878122651,101.2833058093
173,"2408",สนามชัยเขต,Sanam Chai Khet,"24",ฉะเชิงเทรา,Chachoengsao,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.6192708584,101.6457739691
174,"2409",แปลงยาว,Plaeng Yao,"24",ฉะเชิงเทรา,Chachoengsao,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.5572295624,101.3432085159
175,"2410",ท่าตะเกียบ,Tha Takiap,"24",ฉะเชิงเทรา,Chachoengsao,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.3920118569,101.7417967056
176,"2411",คลองเขื่อน,Khlong Khuean,"24",ฉะเชิงเทรา,Chachoengsao,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.7777506686,101.1534359605
177,"2501",เมืองปราจีนบุรี,Mueang Prachin Buri,"25",ปราจีนบุรี,Prachin Buri,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,14.0996161739,101.3859059932
178,"2502",กบินทร์บุรี,Kabin Buri,"25",ปราจีนบุรี,Prachin Buri,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.8896589220,101.7889270210
179,"2503",นาดี,Na Di,"25",ปราจีนบุรี,Prachin Buri,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,14.1852048749,101.8539032401
180,"2506",บ้านสร้าง,Ban Sang,"25",ปราจีนบุรี,Prachin Buri,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.9475660512,101.2490322728
181,"2507",ประจันตคาม,Prachantakham,"25",ปราจีนบุรี,Prachin Buri,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,14.2278323042,101.5556128421
182,"2508",ศรีมหาโพธิ,Si Maha Phot,"25",ปราจีนบุรี,Prachin Buri,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.8866265488,101.5400708959
183,"2509",ศรีมโหสถ,Si Mahosot,"25",ปราจีนบุรี,Prachin Buri,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.8802608946,101.4223319211
184,"2601",เมืองนครนายก,Mueang Nakhon Nayok,"26",นครนายก,Nakhon Nayok,ภาคกลาง,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,14.2785998517,101.2313472250
185,"2602",ปากพลี,Pak Phli,"26",นครนายก,Nakhon Nayok,ภาคกลาง,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,14.2281340517,101.3427106967
186,"2603",บ้านนา,Ban Na,"26",นครนายก,Nakhon Nayok,ภาคกลาง,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,14.2695737431,101.0634479219
187,"2604",องครักษ์,Ongkharak,"26",นครนายก,Nakhon Nayok,ภาคกลาง,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,14.0754964413,101.0073055159
188,"2701",เมืองสระแก้ว,Mueang Sa Kaeo,"27",สระแก้ว,Sa Kaeo,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.9288770064,102.1040348040
189,"2702",คลองหาด,Khlong Hat,"27",สระแก้ว,Sa Kaeo,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.4769342809,102.2777126917
190,"2703",ตาพระยา,Ta Phraya,"27",สระแก้ว,Sa Kaeo,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,14.0471691149,102.7208425530
191,"2704",วังน้ำเย็น,Wang Nam Yen,"27",สระแก้ว,Sa Kaeo,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.5169247598,102.0799384833
192,"2705",วัฒนานคร,Watthana Nakhon,"27",สระแก้ว,Sa Kaeo,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.8933990978,102.3612708432
193,"2706",อรัญประเทศ,Aranyaprathet,"27",สระแก้ว,Sa Kaeo,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.6928927823,102.4778401293
194,"2707",เขาฉกรรจ์,Khao Chakan,"27",สระแก้ว,Sa Kaeo,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.6257071005,102.0243387048
195,"2708",โคกสูง,Khok Sung,"27",สระแก้ว,Sa Kaeo,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.8486272282,102.6417041475
196,"2709",วังสมบูรณ์,Wang Sombun,"27",สระแก้ว,Sa Kaeo,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,RG03,ศูนย์ ปภ. เขต 3,13.3653071762,102.1182790153
197,"3001",เมืองนครราชสีมา,Mueang Nakhon Ratchasima,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.9697710178,102.0925105087
198,"3002",ครบุรี,Khon Buri,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.3804100905,102.2135856419
199,"3003",เสิงสาง,Soeng Sang,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.3556003170,102.4812062033
200,"3004",คง,Khong,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.4345736245,102.2943317516
201,"3005",บ้านเหลื่อม,Ban Lueam,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.5739689892,102.1436396393
202,"3006",จักราช,Chakkarat,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.9514783313,102.4396604883
203,"3007",โชคชัย,Chok Chai,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.7598269059,102.2037549610
204,"3008",ด่านขุนทด,Dan Khun Thot,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.2225503985,101.7007243498
205,"3009",โนนไทย,Non Thai,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.1912131199,102.0241930740
206,"3010",โนนสูง,Non Sung,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.2122868827,102.2757031901
207,"3011",ขามสะแกแสง,Kham Sakaesaeng,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.3823351038,102.1697943196
208,"3012",บัวใหญ่,Bua Yai,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.5893713026,102.3794856252
209,"3013",ประทาย,Prathai,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.5667715839,102.6992343539
210,"3014",ปักธงชัย,Pak Thong Chai,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.6635260894,101.9377520166
211,"3015",พิมาย,Phimai,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.2515349371,102.5417838110
212,"3016",ห้วยแถลง,Huai Thalaeng,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.0430955445,102.6347444654
213,"3017",ชุมพวง,Chum Phuang,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.2650901682,102.7529234171
214,"3018",สูงเนิน,Sung Noen,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.8592956880,101.8284814626
215,"3019",ขามทะเลสอ,Kham Thale So,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.0285430596,101.9305691627
216,"3020",สีคิ้ว,Sikhio,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.9445026049,101.6002501351
217,"3021",ปากช่อง,Pak Chong,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.6192503165,101.4572733002
218,"3022",หนองบุญมาก,Nong Bunmak,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.7174854497,102.3738692850
219,"3023",แก้งสนามนาง,Kaeng Sanam Nang,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.7020558495,102.2469380780
220,"3024",โนนแดง,Non Daeng,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.4485980864,102.5353001808
221,"3025",วังน้ำเขียว,Wang Nam Khiao,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.4327930783,101.8708883716
222,"3026",เทพารักษ์,Thepharak,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.2857974341,101.5061022350
223,"3027",เมืองยาง,Mueang Yang,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.4398005786,102.8858393653
224,"3028",พระทองคำ,Phra Thong Kham,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.3548299697,101.9853081521
225,"3029",ลำทะเมนชัย,Lam Thamenchai,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.2868615996,102.9049791902
226,"3030",บัวลาย,Bua Lai,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.6706886465,102.5127889535
227,"3031",สีดา,Sida,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.5636581430,102.5502668387
228,"3032",เฉลิมพระเกียรติ,Chaloem Phra Kiat,"30",นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.9798654129,102.2909995101
229,"3101",เมืองบุรีรัมย์,Mueang Buri Ram,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.9415021536,103.0591694640
230,"3102",คูเมือง,Khu Mueang,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.2714412285,103.0379652218
231,"3103",กระสัง,Krasang,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.9440918012,103.3168501991
232,"3104",นางรอง,Nang Rong,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.6350389355,102.7610446112
233,"3105",หนองกี่,Nong Ki,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.7256136130,102.5565427495
234,"3106",ละหานทราย,Lahan Sai,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.3336819319,102.8849705382
235,"3107",ประโคนชัย,Prakhon Chai,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.6090623386,103.0614168621
236,"3108",บ้านกรวด,Ban Kruat,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.3941556120,103.1097198385
237,"3109",พุทไธสง,Phutthaisong,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.5324048240,102.9972969673
238,"3110",ลำปลายมาศ,Lam Plai Mat,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.0157360259,102.8690324471
239,"3111",สตึก,Satuek,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.2249473587,103.3240686418
240,"3112",ปะคำ,Pakham,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.4047685221,102.6671097832
241,"3113",นาโพธิ์,Na Pho,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.6958448143,102.9382180263
242,"3114",หนองหงส์,Nong Hong,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.8689345441,102.6592115501
243,"3115",พลับพลาชัย,Phlapphla Chai,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.7293785786,103.1683212677
244,"3116",ห้วยราช,Huai Rat,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.0017542566,103.2251798188
245,"3117",โนนสุวรรณ,Non Suwan,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.5590721523,102.5730535694
246,"3118",ชำนิ,Chamni,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.7881198892,102.8288011237
247,"3119",บ้านใหม่ไชยพจน์,Ban Mai Chaiyaphot,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.5741935855,102.8485612029
248,"3120",โนนดินแดง,Non Din Daeng,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.2238999941,102.6791208287
249,"3121",บ้านด่าน,Ban Dan,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.1213905618,103.1891501119
250,"3122",แคนดง,Khaen Dong,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.3115439222,103.1272551132
251,"3123",เฉลิมพระเกียรติ,Chaloem Phra Kiat,"31",บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.5631897403,102.8925440922
252,"3201",เมืองสุรินทร์,Mueang Surin,"32",สุรินทร์,Surin,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.8848501817,103.5089182542
253,"3202",ชุมพลบุรี,Chumphon Buri,"32",สุรินทร์,Surin,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.3845765161,103.3670411464
254,"3203",ท่าตูม,Tha Tum,"32",สุรินทร์,Surin,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.3096128579,103.6440113520
255,"3204",จอมพระ,Chom Phra,"32",สุรินทร์,Surin,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,15.1392585703,103.5834197517
256,"3205",ปราสาท,Prasat,"32",สุรินทร์,Surin,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.6287264859,103.4108911102
257,"3206",กาบเชิง,Kap Choeng,"32",สุรินทร์,Surin,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,RG05,ศูนย์ ปภ. เขต 5,14.4726261137,103.5665119716
