TambonID,TambonTH,TambonEN,AmphoeID,AmphoeTH,AmphoeEN,ProvinceID,ProvinceTH,ProvinceEN,FormalRegi,F4Region,TMDRegion,MetroRegio,Units,UnitsTH,lat,lon
580101,จองคำ,Chong Kham,5801,เมืองแม่ฮ่องสอน,Mueang Mae Hong Son,58,แม่ฮ่องสอน,Mae Hong Son,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,19.3000584277,97.9670497180
571104,ป่างิ้ว,Pa Ngio,5711,เวียงป่าเป้า,Wiang Pa Pao,57,เชียงราย,Chiang Rai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.2492153603,99.4256710021
550512,สกาด,Sakat,5505,ปัว,Pua,55,น่าน,Nan,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.2585204923,101.0093367575
560507,ป่าซาง,Pa Sang,5605,ดอกคำใต้,Dok Khamtai,56,พะเยา,Phayao,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.2835197299,100.0606346501
501110,แม่ปั๋ง,Mae Pang,5011,พร้าว,Phrao,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,19.2129175252,99.2123988065
580103,ผาบ่อง,Pha Bong,5801,เมืองแม่ฮ่องสอน,Mueang Mae Hong Son,58,แม่ฮ่องสอน,Mae Hong Son,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,19.2092512539,97.9276489787
550909,พระพุทธบาท,Phra Phutthabat,5509,เชียงกลาง,Chiang Klang,55,น่าน,Nan,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.2582119924,100.8143724406
551205,ดงพญา,Dong Phaya,5512,บ่อเกลือ,Bo Kluea,55,น่าน,Nan,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.2202503441,101.1981763260
550903,เชียงคาน,Chiang Khan,5509,เชียงกลาง,Chiang Klang,55,น่าน,Nan,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.2456631178,100.8549156587
550603,ผาตอ,Pha To,5506,ท่าวังผา,Tha Wang Pha,55,น่าน,Nan,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.2140747474,100.7739819309
500609,ป่าแป๋,Pa Pae,5006,แม่แตง,Mae Taeng,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,19.1792191091,98.6788651927
520701,ทุ่งฮั้ว,Thung Hua,5207,วังเหนือ,Wang Nuea,52,ลำปาง,Lampang,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,19.2308064877,99.6302102766
500607,บ้านเป้า,Ban Pao,5006,แม่แตง,Mae Taeng,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,19.2178934253,99.0466389784
560106,บ้านต๊ำ,Ban Tam,5601,เมืองพะเยา,Mueang Phayao,56,พะเยา,Phayao,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.2258226809,99.7942955711
560903,แม่อิง,Mae Ing,5609,ภูกามยาว,Phu Kamyao,56,พะเยา,Phayao,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.2404939284,99.9894386128
571105,เวียงกาหลง,Wiang Ka Long,5711,เวียงป่าเป้า,Wiang Pa Pao,57,เชียงราย,Chiang Rai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.2412200269,99.5248602550
560116,ท่าจำปี,Tha Champi,5601,เมืองพะเยา,Mueang Phayao,56,พะเยา,Phayao,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.2513200913,99.7824204233
500613,อินทขิล,Inthakhin,5006,แม่แตง,Mae Taeng,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,19.2003543415,98.9529611698
550509,ไชยวัฒนา,Chai Watthana,5505,ปัว,Pua,55,น่าน,Nan,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.2271271829,100.9071402972
550503,สถาน,Sathan,5505,ปัว,Pua,55,น่าน,Nan,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.2244083476,100.9508792393
560509,ดงสุวรรณ,Dong Suwan,5605,ดอกคำใต้,Dok Khamtai,56,พะเยา,Phayao,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.2413211172,100.0577404213
560606,นาปรัง,Na Prang,5606,ปง,Pong,56,พะเยา,Phayao,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.2093839993,100.2435011848
560107,บ้านต๋อม,Ban Tom,5601,เมืองพะเยา,Mueang Phayao,56,พะเยา,Phayao,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.2024557752,99.8515552066
550502,แงง,Ngaeng,5505,ปัว,Pua,55,น่าน,Nan,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.2042390102,100.8544005525
560113,ท่าวังทอง,Tha Wang Thong,5601,เมืองพะเยา,Mueang Phayao,56,พะเยา,Phayao,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.2012516066,99.9226867572
580307,โป่งสา,Pong Sa,5803,ปาย,Pai,58,แม่ฮ่องสอน,Mae Hong Son,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,19.1130149298,98.5257014507
550510,เจดีย์ชัย,Chedi Chai,5505,ปัว,Pua,55,น่าน,Nan,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.1774744218,100.8305793565
560607,ขุนควร,Khun Khuan,5606,ปง,Pong,56,พะเยา,Phayao,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.1112124468,100.4573571889
560511,สว่างอารมณ์,Sawang Arom,5605,ดอกคำใต้,Dok Khamtai,56,พะเยา,Phayao,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,19.1938938877,99.9816674672
501302,ทรายมูล,Sai Mun,5013,สันกำแพง,San Kamphaeng,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.7373733937,99.1408077309
501305,แช่ช้าง,Chae Chang,5013,สันกำแพง,San Kamphaeng,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.7224078583,99.1535514590
501306,ออนใต้,On Tai,5013,สันกำแพง,San Kamphaeng,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6999673123,99.2286962312
520601,แจ้ห่ม,Chae Hom,5206,แจ้ห่ม,Chae Hom,52,ลำปาง,Lampang,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6992597845,99.6559852385
551403,น้ำแก่น,Nam Kaen,5514,ภูเพียง,Phu Phiang,55,น่าน,Nan,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,18.7009156788,100.8725182468
501508,สันผักหวาน,San Phak Wan,5015,หางดง,Hang Dong,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.7195707601,98.9634906378
520510,แม่ตีบ,Mae Tip,5205,งาว,Ngao,52,ลำปาง,Lampang,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6344652323,100.0381155229
551402,นาปัง,Na Pang,5514,ภูเพียง,Phu Phiang,55,น่าน,Nan,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,18.6996023775,100.7901547074
501304,บวกค้าง,Buak Khang,5013,สันกำแพง,San Kamphaeng,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6997153284,99.1036675713
