finance_feature,r2,rmse,fi_wind,fi_flood,fi_pm
Cash and cash equivalents,0.8477220688688543,8.215506501066736,0.3206021540000328,0.3774704946838557,0.30192735131611154
Inventories,0.9175717643004306,4.888173212537337,0.10985640112650367,0.4940115754492494,0.39613202342424686
Trade and other receivables,0.6907960728054899,3.2987306208023686,0.46178828837195424,0.24774587861264397,0.29046583301540185
Total assets,0.8288321376944336,11.32919082115365,0.39806739075504416,0.3800544716302712,0.22187813761468472
Total current liabilities,0.7847622694935749,9.785419596694165,0.2325669610835945,0.3927684659143216,0.374664573002084
Total debts,0.8414288662480391,11.19658346971259,0.38296002565560583,0.438478623768027,0.17856135057636718
Cost of Revenue,0.8283532436165855,9.51433764806034,0.19433607889138435,0.18478095540678613,0.6208829657018295
Revenue,0.7569145306984928,13.644459939266488,0.3247228035187902,0.08719888210901906,0.5880783143721907
Total cost,0.7573831725109659,12.115182144710694,0.38986874584238557,0.08928463335934082,0.5208466207982737
Profit,0.8899632587202557,4.557297840357407,0.21798022409667192,0.11788254534985627,0.6641372305534718
Cash flow from operating activities,0.7234716904817355,7.183182298134947,0.2633577604065186,0.386509331479198,0.3501329081142835
Cash Flow from investing activities,0.7356348076362641,9.56963608592731,0.3060203001770765,0.3307319406728386,0.36324775915008495
Cash Flow from Financing Activities,0.8576278522413575,11.456719296178246,0.336852647092685,0.31759282002561195,0.345554532881703
